imdbId,movie_title,title_year,releaseDate,genres,writers,director_name,sequel,hitFlop,actor_1_name,actor_2_name,actor_3_name,actor_4_name
tt1415252,Agyaat: The Unknown,2009,07-Aug-09,Drama | Horror | Mystery,Puneet Gandhi | Nilesh Girkar | Sarim Momin (lyrics) | Prashant Pandey (lyrics) | Sandip Singh (lyrics),Ram Gopal Varma,0,2,Nitin , Priyanka Kothari , Rasika Dugal , Gautam Rode
tt1420539,Ek Se Bure Do,2009,10-Apr-09,Action | Comedy | Crime,Nisar Akhtar (screenplay) | Panchhi Jalonvi (lyrics) | Bobby Khan (screenplay) | Tariq Khan,Tariq Khan,0,1,Anita , Snehal Dabi , Anita Hassandani , Jagdeep
tt1425618,Apartment: Rent at Your Own Risk,2010,23-Apr-10,Drama | Thriller,Syed Gulrez (screenplay) | Jag Mundhra (screenplay),Jag Mundhra,0,1,Rohit Roy , Tanushree Dutta , Neetu Chandra , Mushtaq Khan
tt1428459,We Are Family,2010,10-Sep-10,Drama | Family,Niranjan Iyengar (dialogue),Siddharth Malhotra,0,2,Kareena Kapoor , Kajol , Arjun Rampal , Amrita Prakash
tt1431122,No Problem,2010,10-Dec-10,Action | Comedy | Crime,Ikram Akhtar (screenplay) | Nisar Akhtar (additional dialogue) | Anand Raj Anand (lyrics) | Anees Bazmee | Kumaar (lyrics),Anees Bazmee,0,2,Anil Kapoor , Sanjay Dutt , Kangana Ranaut , Sunil Shetty
tt1431729,Mohandas,2009,01-May-09,Thriller,Uday Prakash (story),Mazhar Kamran,0,1,Sonali Kulkarni , Sharbani Mukherji , Sushant Singh , Nakul Vaid
tt1433810,Mumbai Diaries,2010,21-Jan-11,Drama,Kiran Rao,Kiran Rao,0,1,Prateik , Monica Dogra , Kriti Malhotra , Aamir Khan
tt1433905,All the Best: Fun Begins,2009,16-Oct-09,Action | Comedy | Drama,Robin Bhatt (screenplay) | Kumaar (lyrics) | Bunty Rathore (dialogues) | Yunus Sajawal (screenplay) | Sajid (dialogue),Rohit Shetty,0,4,Sanjay Dutt , Ajay Devgn , Fardeen Khan , Bipasha Basu
tt1434447,Rocket Singh: Salesman of the Year,2009,11-Dec-09,Comedy | Drama,Jaideep Sahni,Shimit Amin,0,3,Ranbir Kapoor , Prem Chopra , Gauhar Khan , Mukesh Bhatt
tt1438298,Guzaarish,2010,19-Nov-10,Comedy | Drama | Romance,Sanjay Leela Bhansali (screenplay) | Bhavani Iyer (dialogue) | Bhavani Iyer (screenplay) | Vibhu Puri (dialogue) | Turaz (lyrics),Sanjay Leela Bhansali,0,1,Hrithik Roshan , Aishwarya Rai Bachchan , Shernaz Patel , Aditya Roy Kapoor
