director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Shailendra Shukla,Jeetendra,Vivek Mushran,Upasna Singh,Drama,krishna arjun,Jeetendra Vivek Mushran Upasna Singh Shailendra Shukla Drama
Vikram Veturi,Manoj Bajpayee,Harish Bhimani,Neetu Chaudhary,Animation Action Adventure,krishna aur kans,"Manoj Bajpayee Harish Bhimani Neetu Chaudhary Vikram Veturi Animation, Action, Adventure"
Santram Varma,Sohail Khan,Isha Koppikar,Anita Hassanandani Reddy,Horror Mystery,krishna cottage,"Sohail Khan Isha Koppikar Anita Hassanandani Reddy Santram Varma Horror, Mystery"
Sidharth Srinivasan,Avantika Akerkar,M.D. Asif,Kishan Bahurupiya,Drama Fantasy Horror,kriya,"Avantika Akerkar M.D. Asif Kishan Bahurupiya Sidharth Srinivasan Drama, Fantasy, Horror"
Shashilal K. Nair,Sanjay Dutt,Sunny Deol,Amrita Singh,Action Crime Drama,kroadh,"Sanjay Dutt Sunny Deol Amrita Singh Shashilal K. Nair Action, Crime, Drama"
Ashok Honda,Sunil Shetty,Johnny Lever,Rambha,Action Comedy Drama,krodh,"Sunil Shetty Johnny Lever Rambha Ashok Honda Action, Comedy, Drama"
Subhash Ghai,Dharmendra,Shashi Kapoor,Zeenat Aman,Action Crime Thriller,krodhi,"Dharmendra Shashi Kapoor Zeenat Aman Subhash Ghai Action, Crime, Thriller"
Mohan Segal,Kishore Kumar,Shashikala,Kumkum,Comedy Crime Drama,krorepati,"Kishore Kumar Shashikala Kumkum Mohan Segal Comedy, Crime, Drama"
Rakesh Roshan,Hrithik Roshan,Priyanka Chopra Jonas,Rekha,Action Adventure Sci-Fi,krrish,"Hrithik Roshan Priyanka Chopra Jonas Rekha Rakesh Roshan Action, Adventure, Sci-Fi"
Rakesh Roshan,Hrithik Roshan,Vivek Oberoi,Priyanka Chopra Jonas,Action Adventure Sci-Fi,krrish 3,"Hrithik Roshan Vivek Oberoi Priyanka Chopra Jonas Rakesh Roshan Action, Adventure, Sci-Fi"
J.P. Dutta,Sunil Dutt,Dharmendra,Vinod Khanna,Action Drama War,kshatriya,"Sunil Dutt Dharmendra Vinod Khanna J.P. Dutta Action, Drama, War"
Karan Gour,Rasika Dugal,Alekh Sangal,Sudhir Pednekar,Drama,kshay,Rasika Dugal Alekh Sangal Sudhir Pednekar Karan Gour Drama
Shukla Barnali Ray,Shefali Shah,Om Puri,Rahul Bose,Drama,kucch luv jaisaa,Shefali Shah Om Puri Rahul Bose Shukla Barnali Ray Drama
Anurag Basu,Anil v Kumar,Tusshar Kapoor,Esha Deol,Horror Mystery,kucch to hai,"Anil v Kumar Tusshar Kapoor Esha Deol Anurag Basu Horror, Mystery"
Anurag Kawatra,Meenu Kawatra,Saajan Kataria,Rajesh Navgain,Drama,kuch der aur,Meenu Kawatra Saajan Kataria Rajesh Navgain Anurag Kawatra Drama
Basu Chatterjee,Sarvar Ahuja,Satish Kaushik,Anupam Kher,Comedy,kuch khatta kuch meetha,Sarvar Ahuja Satish Kaushik Anupam Kher Basu Chatterjee Comedy
Rahul Rawail,Kajol,Rati Agnihotri,Rishi Kapoor,Comedy Drama Romance,kuch khatti kuch meethi,"Kajol Rati Agnihotri Rishi Kapoor Rahul Rawail Comedy, Drama, Romance"
Karan Johar,Shah Rukh Khan,Kajol,Rani Mukerji,Comedy Drama Musical,kuch kuch hota hai,"Shah Rukh Khan Kajol Rani Mukerji Karan Johar Comedy, Drama, Musical"
Devang Dholakia,Ram Kapoor,Sunny Leone,Evelyn Sharma,Comedy Drama,kuch kuch locha hai,"Ram Kapoor Sunny Leone Evelyn Sharma Devang Dholakia Comedy, Drama"
Rohan Sippy,Aishwarya Rai Bachchan,Abhishek Bachchan,Satish Shah,Comedy Drama Romance,kuch naa kaho,"Aishwarya Rai Bachchan Abhishek Bachchan Satish Shah Rohan Sippy Comedy, Drama, Romance"
Viral H. Patel,Aamir,Tejas Gadhvi,Aamir Ghani,Drama,kuch pal pyar ke,Aamir Tejas Gadhvi Aamir Ghani Viral H. Patel Drama
Suresh Bafna,Nilanjana Bhattacharya,Kulbir Badesron,Arun Bakshi,Comedy,kuch to gadbad hai,Nilanjana Bhattacharya Kulbir Badesron Arun Bakshi Suresh Bafna Comedy
K. Ravi Shankar,Vikram Gokhale,Dinesh Hingoo,Adi Irani,Action Drama Romance,kuch tum kaho kuch hum kahein,"Vikram Gokhale Dinesh Hingoo Adi Irani K. Ravi Shankar Action, Drama, Romance"
Onir,Geetanjali Thapa,Zain Khan Durrani,Shray Rai Tiwari,Romance,kuchh bheege alfaaz,Geetanjali Thapa Zain Khan Durrani Shray Rai Tiwari Onir Romance
Jagbir Dahiya,Abhay Bhargava,Suresh Chatwal,Dinesh Hingoo,Adventure Drama Music,kuchh kariye,"Abhay Bhargava Suresh Chatwal Dinesh Hingoo Jagbir Dahiya Adventure, Drama, Music"
Samar Khan,Arshad Warsi,Mahima Chaudhry,Parvin Dabas,Comedy Romance,kuchh meetha ho jaye,"Arshad Warsi Mahima Chaudhry Parvin Dabas Samar Khan Comedy, Romance"
Amar Butala,Rekha,Mahima Chaudhry,Vasundhara Das,Comedy,kudiyon ka hai zamaana,Rekha Mahima Chaudhry Vasundhara Das Amar Butala Comedy
Chetan Anand,Rajesh Khanna,Raaj Kumar,Hema Malini,Drama Mystery Romance,kudrat,"Rajesh Khanna Raaj Kumar Hema Malini Chetan Anand Drama, Mystery, Romance"
Raj N. Sippy,Akshaye Khanna,Urmila Matondkar,Maya Alagh,Action Drama Romance,kudrat,"Akshaye Khanna Urmila Matondkar Maya Alagh Raj N. Sippy Action, Drama, Romance"
K.C. Bokadia,S.A. Chandrashekhar,Beena Banerjee,Ramesh Deo,Mystery,kudrat ka kanoon,S.A. Chandrashekhar Beena Banerjee Ramesh Deo K.C. Bokadia Mystery
Parvati Menon,Chetan Hansraj,Laxmi Aishwarya,Aditya Gupte,Comedy,kuk doo koo,Chetan Hansraj Laxmi Aishwarya Aditya Gupte Parvati Menon Comedy
Aman Sachdeva,Siddharth Gupta,Simran Kaur Mundi,Siddharth Bhardwaj,Comedy Romance,kuku mathur ki jhand ho gayi,"Siddharth Gupta Simran Kaur Mundi Siddharth Bhardwaj Aman Sachdeva Comedy, Romance"
Remy Kohli,Deepak Dobriyal,Gulshan Devaiah,Raima Sen,Crime Drama Mystery,kuldip patwal: i didn't do it!,"Deepak Dobriyal Gulshan Devaiah Raima Sen Remy Kohli Crime, Drama, Mystery"
Sohrab Modi,Sohrab Modi,Sunil Dutt,Nimmi,Crime Drama,kundan,"Sohrab Modi Sunil Dutt Nimmi Sohrab Modi Crime, Drama"
K.C. Bokadia,Dharmendra,Jaya Prada,Amrish Puri,Action Drama,kundan,"Dharmendra Jaya Prada Amrish Puri K.C. Bokadia Action, Drama"
David Dhawan,Govinda,Urmila Matondkar,Nagma,Comedy Drama Romance,kunwara,"Govinda Urmila Matondkar Nagma David Dhawan Comedy, Drama, Romance"
Mehmood,Mehmood,Bharathi,Aachi Manorama,Comedy Drama,kunwara baap,"Mehmood Bharathi Aachi Manorama Mehmood Comedy, Drama"
Suresh Jain,Tanveer,Karishma,Urmila,Drama,kunwara paying guest,Tanveer Karishma Urmila Suresh Jain Drama
Deepak Bahry,Sunil Dutt,Kabir Bedi,Salman Khan,Action Drama Romance,kurbaan,"Sunil Dutt Kabir Bedi Salman Khan Deepak Bahry Action, Drama, Romance"
Renzil D'Silva,Lewis Tan,Kareena Kapoor,Saif Ali Khan,Action Crime Drama,kurbaan,"Lewis Tan Kareena Kapoor Saif Ali Khan Renzil D'Silva Action, Crime, Drama"
Mahesh Manjrekar,Mukesh Rishi,Sanjay Dutt,Mahima Chaudhry,Action Crime Drama,kurukshetra,"Mukesh Rishi Sanjay Dutt Mahima Chaudhry Mahesh Manjrekar Action, Crime, Drama"
Kamalakara Kameshwara Rao,Sobhan Babu,Krishna Ghattamaneni,Krishnamraju,Action Drama History,kurukshetra,"Sobhan Babu Krishna Ghattamaneni Krishnamraju Kamalakara Kameshwara Rao Action, Drama, History"
P. Vasu,Rajinikanth,Pasupathy,Meena,Comedy Drama Family,kuselan,"Rajinikanth Pasupathy Meena P. Vasu Comedy, Drama, Family"
Rajeev Kumar,Rajpal Yadav,Nargis Bagheri,Om Puri,Comedy,kushti,Rajpal Yadav Nargis Bagheri Om Puri Rajeev Kumar Comedy
Sunil Patel,Raz Rehman Ali,Jass Boparai,Tanya Daang,Comedy,kutte ki dum,Raz Rehman Ali Jass Boparai Tanya Daang Sunil Patel Comedy
Vijay Raaz,Karan Arora,Vijay Raaz,Manu Rishi Chadha,Drama History War,kya dilli kya lahore,"Karan Arora Vijay Raaz Manu Rishi Chadha Vijay Raaz Drama, History, War"
Kundan Shah,Preity Zinta,Saif Ali Khan,Chandrachur Singh,Drama Romance,kya kehna,"Preity Zinta Saif Ali Khan Chandrachur Singh Kundan Shah Drama, Romance"
Lovely Singh,Tusshar Kapoor,Ayesha Takia,Karan Hukka,Comedy Drama Romance,kya love story hai,"Tusshar Kapoor Ayesha Takia Karan Hukka Lovely Singh Comedy, Drama, Romance"
Y.P. Singh,Gurpreet Kaur Chadha,Shalini Chandran,T.K. Chowdhary,Crime Drama Thriller,kya yahi sach hai,"Gurpreet Kaur Chadha Shalini Chandran T.K. Chowdhary Y.P. Singh Crime, Drama, Thriller"
K. Muralimohana Rao,Jackie Shroff,Aftab Shivdasani,Ameesha Patel,Drama Romance,kya yehi pyaar hai,"Jackie Shroff Aftab Shivdasani Ameesha Patel K. Muralimohana Rao Drama, Romance"
Sanjay Chhel,Rajesh Khanna,Tusshar Kapoor,Esha Deol,Family Romance,kyaa dil ne kahaa,"Rajesh Khanna Tusshar Kapoor Esha Deol Sanjay Chhel Family, Romance"
Sangeeth Sivan,Tusshar Kapoor,Riteish Deshmukh,Isha Koppikar,Comedy Mystery,kyaa kool hai hum,"Tusshar Kapoor Riteish Deshmukh Isha Koppikar Sangeeth Sivan Comedy, Mystery"
Umesh Ghadge,Tusshar Kapoor,Aftab Shivdasani,Krishna Abhishek,Comedy,kyaa kool hain hum 3,Tusshar Kapoor Aftab Shivdasani Krishna Abhishek Umesh Ghadge Comedy
Sachin Yardi,Anupam Kher,Neha Sharma,Riteish Deshmukh,Comedy,kyaa super kool hain hum,Anupam Kher Neha Sharma Riteish Deshmukh Sachin Yardi Comedy
David Dhawan,Govinda,Sushmita Sen,Rambha,Action Comedy Drama,kyo kii... main jhuth nahin bolta,"Govinda Sushmita Sen Rambha David Dhawan Action, Comedy, Drama"
Priyadarshan,Salman Khan,Kareena Kapoor,Rimi Sen,Drama Romance,kyon ki...,"Salman Khan Kareena Kapoor Rimi Sen Priyadarshan Drama, Romance"
Kalpana Lajmi,Vinay Apte,Ashok Beniwal,Chaitanya Choudhury,Crime,kyon?,Vinay Apte Ashok Beniwal Chaitanya Choudhury Kalpana Lajmi Crime
Samir Karnik,Amitabh Bachchan,Vivek Oberoi,Aishwarya Rai Bachchan,Comedy Drama Romance,kyun! ho gaya na...,"Amitabh Bachchan Vivek Oberoi Aishwarya Rai Bachchan Samir Karnik Comedy, Drama, Romance"
Raj Kanwar,Anil Kapoor,Sridevi,Raveena Tandon,Drama Family,laadla,"Anil Kapoor Sridevi Raveena Tandon Raj Kanwar Drama, Family"
Murali Nair,Raghuvir Yadav,Sheila Naidu,Saurab Gharipurikar,Comedy,laadli laila,Raghuvir Yadav Sheila Naidu Saurab Gharipurikar Murali Nair Comedy
Pradeep Sarkar,Rani Mukerji,Jaya Bachchan,Konkona Sen Sharma,Drama Family Romance,laaga chunari mein daag: journey of a woman,"Rani Mukerji Jaya Bachchan Konkona Sen Sharma Pradeep Sarkar Drama, Family, Romance"
Navdeep Singh,Saif Ali Khan,Zoya Hussain,Manav Vij,Action Adventure Drama,laal kaptaan,"Saif Ali Khan Zoya Hussain Manav Vij Navdeep Singh Action, Adventure, Drama"
Hannif Chippa,Aditya Pancholi,Javed Jaffrey,Janhavi,Fantasy,laal paree,Aditya Pancholi Javed Jaffrey Janhavi Hannif Chippa Fantasy
Syed Ahmad Afzal,Randeep Hooda,Akshay Oberoi,Rajniesh Duggall,Comedy Crime Drama,laal rang,"Randeep Hooda Akshay Oberoi Rajniesh Duggall Syed Ahmad Afzal Comedy, Crime, Drama"
Raj N. Sippy,Vikas Anand,Balbinder Dhami,Anil Dhawan,Drama,laalchee,Vikas Anand Balbinder Dhami Anil Dhawan Raj N. Sippy Drama
Manish Harishankar,Gurmeet Choudhary,Bharat Dungrani,Akshara Haasan,Comedy Drama Musical,laali ki shaadi mein laaddoo deewana,"Gurmeet Choudhary Bharat Dungrani Akshara Haasan Manish Harishankar Comedy, Drama, Musical"
Sonika Gill,Anil Dhawan,Sargam,Rashmi Verma,Horror,laash,Anil Dhawan Sargam Rashmi Verma Sonika Gill Horror
Sunil Agnihotri,Ishrat Ali,Asrani,Sharokh Bharucha,Action Crime Drama,laat saab,"Ishrat Ali Asrani Sharokh Bharucha Sunil Agnihotri Action, Crime, Drama"
Prakash Mehra,Amitabh Bachchan,Zeenat Aman,Rakhee Gulzar,Drama Action Musical,laawaris,"Amitabh Bachchan Zeenat Aman Rakhee Gulzar Prakash Mehra Drama, Action, Musical"
Shrikant Sharma,Jackie Shroff,Dimple Kapadia,Akshaye Khanna,Action Crime Drama,laawaris,"Jackie Shroff Dimple Kapadia Akshaye Khanna Shrikant Sharma Action, Crime, Drama"
Ashok Chattopadhyay,Master Shankar,Master Sushobhan,Asitbaran,Family,lab kush,Master Shankar Master Sushobhan Asitbaran Ashok Chattopadhyay Family
Deepak S. Shivdasani,Rekha,Mithun Chakraborty,Dimple Kapadia,Action Crime Drama,ladaai,"Rekha Mithun Chakraborty Dimple Kapadia Deepak S. Shivdasani Action, Crime, Drama"
Ashok Mehta,Ruby Ahmed,Khushboo Khan,Gautmi,Romance,ladies first,Ruby Ahmed Khushboo Khan Gautmi Ashok Mehta Romance
Dinesh Shailendra,Seema Biswas,Kamal Haasan,Randhir Kapoor,Comedy,ladies only,Seema Biswas Kamal Haasan Randhir Kapoor Dinesh Shailendra Comedy
Khalid Akhtar,Sanjeev Kumar,Reena Roy,Amjad Khan,Comedy,ladies tailor,Sanjeev Kumar Reena Roy Amjad Khan Khalid Akhtar Comedy
Udyakanth,Javed Abdi,Krishna Bhatt,Preeti Bhutani,Comedy,ladies tailor,Javed Abdi Krishna Bhatt Preeti Bhutani Udyakanth Comedy
Maneesh Sharma,Ranveer Singh,Anushka Sharma,Parineeti Chopra,Comedy Crime Drama,ladies vs. ricky bahl,"Ranveer Singh Anushka Sharma Parineeti Chopra Maneesh Sharma Comedy, Crime, Drama"
Som Haksar,Kishore Kumar,I.S. Johar,Mumtaz,Comedy,ladka ladki,Kishore Kumar I.S. Johar Mumtaz Som Haksar Comedy
Subhash Mukherjee,Ainul,Bindu,Sudhir Dalvi,Action Adventure Drama,ladke baap se badke,"Ainul Bindu Sudhir Dalvi Subhash Mukherjee Action, Adventure, Drama"
M.V. Raman,Vyjayanthimala,Anjali Devi,Bharat Bhushan,Comedy,ladki,Vyjayanthimala Anjali Devi Bharat Bhushan M.V. Raman Comedy
C.L. Rawal,Deepak Kumar,Mumtaz,Jeevan,Drama Family Romance,ladki pasand hai,"Deepak Kumar Mumtaz Jeevan C.L. Rawal Drama, Family, Romance"
Shantaram Rajaram Vankudre,Shalini Abhyankar,Keshavrao Date,Vatsala Deshmukh,Musical Drama,ladki sahyadri ki,"Shalini Abhyankar Keshavrao Date Vatsala Deshmukh Shantaram Rajaram Vankudre Musical, Drama"
R.N. Vaidya,Fearless Nadia,Prakash,Shanta Patel,Action Adventure,lady robinhood,"Fearless Nadia Prakash Shanta Patel R.N. Vaidya Action, Adventure"
Silk Smitha,Jamuna,Vinod Kumar,Y.G. Mahendran,Action Romance,lady tarzan,"Jamuna Vinod Kumar Y.G. Mahendran Silk Smitha Action, Romance"
Harmesh Malhotra,Randhir Kapoor,Mumtaz,Pran,Drama Family,lafange,"Randhir Kapoor Mumtaz Pran Harmesh Malhotra Drama, Family"
Pradeep Sarkar,Neil Nitin Mukesh,Deepika Padukone,Vijay Adhav,Action Drama Romance,lafangey parindey,"Neil Nitin Mukesh Deepika Padukone Vijay Adhav Pradeep Sarkar Action, Drama, Romance"
Desh Gautam,Vinod Khanna,Yogeeta Bali,Bindu,Action,lagaam,Vinod Khanna Yogeeta Bali Bindu Desh Gautam Action
Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh,Drama Musical Sport,lagaan: once upon a time in india,"Aamir Khan Raghuvir Yadav Gracy Singh Ashutosh Gowariker Drama, Musical, Sport"
Ramanna,Nutan,Parikshit Sahni,Prem Chopra,Action Drama,lagan,"Nutan Parikshit Sahni Prem Chopra Ramanna Action, Drama"
Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Vidya Balan,Comedy Drama Romance,lage raho munna bhai,"Sanjay Dutt Arshad Warsi Vidya Balan Rajkumar Hirani Comedy, Drama, Romance"
Ajay Naik,Umesh Kamat,Mukta Barve,Siddharth Chandekar,Romance,lagna pahave karun,Umesh Kamat Mukta Barve Siddharth Chandekar Ajay Naik Romance
K Sukumar,Abhijeet K.,Kainat Ahmed,Akash,Drama Mystery Thriller,lagori,"Abhijeet K. Kainat Ahmed Akash K Sukumar Drama, Mystery, Thriller"
Mehul Kumar,Naseeruddin Shah,Akshay Kumar,Karisma Kapoor,Action Drama,lahoo ke do rang,"Naseeruddin Shah Akshay Kumar Karisma Kapoor Mehul Kumar Action, Drama"
M.L. Anand,Nargis,Karan Dewan,Kuldip Kaur,Drama,lahore,Nargis Karan Dewan Kuldip Kaur M.L. Anand Drama
Sanjay Puran Singh Chauhan,Farooq Shaikh,Nafisa Ali,Aanaahad,Action Drama Sport,lahore,"Farooq Shaikh Nafisa Ali Aanaahad Sanjay Puran Singh Chauhan Action, Drama, Sport"
Kunal Kohli,Richa Chadha,Nikhat Khan,Abdullah Osman,Crime Drama Thriller,lahore confidential,"Richa Chadha Nikhat Khan Abdullah Osman Kunal Kohli Crime, Drama, Thriller"
Mahesh Bhatt,Vinod Khanna,Shabana Azmi,Danny Denzongpa,Action Drama,lahu ke do rang,"Vinod Khanna Shabana Azmi Danny Denzongpa Mahesh Bhatt Action, Drama"
Sukhwant Dhadda,Arjun,Mahesh Bhatt,Atlee Brar,Action Horror Mystery,lahu luhan,"Arjun Mahesh Bhatt Atlee Brar Sukhwant Dhadda Action, Horror, Mystery"
Akhtar-Ul-Iman,Sunil Dutt,Saira Banu,Feroz Khan,Action,lahu pukarega,Sunil Dutt Saira Banu Feroz Khan Akhtar-Ul-Iman Action
Saawan Kumar Tak,Sunil Dutt,Poonam Dhillon,Anil Kapoor,Musical Romance,laila,"Sunil Dutt Poonam Dhillon Anil Kapoor Saawan Kumar Tak Musical, Romance"
Vicky G.,Payal Rohatgi,Farid Amiri,Chery Shety,Crime Thriller,laila,"Payal Rohatgi Farid Amiri Chery Shety Vicky G. Crime, Thriller"
K. Amarnath,Shammi Kapoor,Nutan,Ulhas,Romance,laila majnu,Shammi Kapoor Nutan Ulhas K. Amarnath Romance
Sajid Ali,Avinash Tiwary,Tripti Dimri,Sumit Kaul,Drama Romance,laila majnu,"Avinash Tiwary Tripti Dimri Sumit Kaul Sajid Ali Drama, Romance"
Rajkumar Santoshi,Manisha Koirala,Jackie Shroff,Madhuri Dixit,Action Crime Drama,lajja,"Manisha Koirala Jackie Shroff Madhuri Dixit Rajkumar Santoshi Action, Crime, Drama"
Narendra Suri,Nargis,Balraj Sahni,Kumari Naaz,Drama Family,lajwanti,"Nargis Balraj Sahni Kumari Naaz Narendra Suri Drama, Family"
Pushpendra Singh,Sanghmitra Hitaishi,Pushpendra Singh,Sugna Devi,Drama Romance,lajwanti,"Sanghmitra Hitaishi Pushpendra Singh Sugna Devi Pushpendra Singh Drama, Romance"
Ahmed Khan,Sunny Deol,Sunil Shetty,Sohail Khan,Action Romance,lakeer - forbidden lines,"Sunny Deol Sunil Shetty Sohail Khan Ahmed Khan Action, Romance"
Zubair Khan,Vicky Ahuja,Saaikat Bagbaan,Ajaz Khan,Crime,lakeer ka fakeer,Vicky Ahuja Saaikat Bagbaan Ajaz Khan Zubair Khan Crime
Dinesh-Ramanesh,Ramesh Puri,Amjad Khan,Baby Rani,Action Crime Drama,lakhan,"Ramesh Puri Amjad Khan Baby Rani Dinesh-Ramanesh Action, Crime, Drama"
Basu Chatterjee,Sanjeev Kumar,Farooq Shaikh,Anita Raj,Comedy Musical Romance,lakhon ki baat,"Sanjeev Kumar Farooq Shaikh Anita Raj Basu Chatterjee Comedy, Musical, Romance"
S.S. Balan,Mehmood,Pran,Ramesh Deo,Comedy Drama,lakhon me ek,"Mehmood Pran Ramesh Deo S.S. Balan Comedy, Drama"
Sunil Sikand,Naseeruddin Shah,Jackie Shroff,Sangeeta Bijlani,Drama,lakshmanrekha,Naseeruddin Shah Jackie Shroff Sangeeta Bijlani Sunil Sikand Drama
B.S. Thapa,Reena Roy,Raj Babbar,Ranjeet,Drama,lakshmi,Reena Roy Raj Babbar Ranjeet B.S. Thapa Drama
Nagesh Kukunoor,Monali Thakur,Vibha Chhibber,Ranjeet Jha,Drama,lakshmi,Monali Thakur Vibha Chhibber Ranjeet Jha Nagesh Kukunoor Drama
Farhan Akhtar,Hrithik Roshan,Preity Zinta,Amitabh Bachchan,Action Drama Romance,lakshya,"Hrithik Roshan Preity Zinta Amitabh Bachchan Farhan Akhtar Action, Drama, Romance"
K.C. Bokadia,Amitabh Bachchan,Manisha Koirala,Shilpa Shetty Kundra,Action Drama,lal baadshah,"Amitabh Bachchan Manisha Koirala Shilpa Shetty Kundra K.C. Bokadia Action, Drama"
Jugal Kishore,Prithviraj Kapoor,Sheikh Mukhtar,Sujit Kumar,Mystery,lal bangla,Prithviraj Kapoor Sheikh Mukhtar Sujit Kumar Jugal Kishore Mystery
K.B. Lall,Surendra,Noor Jehan,Ulhas,Drama Romance,lal haveli,"Surendra Noor Jehan Ulhas K.B. Lall Drama, Romance"
Batra Mohinder,Kanak Mukherjee,Tanuja,Ranjit Mallick,Thriller,lal kothi,Kanak Mukherjee Tanuja Ranjit Mallick Batra Mohinder Thriller
Kedar Kapoor,Mahipal,Shakila,B.M. Vyas,Adventure Fantasy,lal pari,"Mahipal Shakila B.M. Vyas Kedar Kapoor Adventure, Fantasy"
Sushil Majumdar,Raaj Kumar,Hema Malini,Rakhee Gulzar,Drama,lal patthar,Raaj Kumar Hema Malini Rakhee Gulzar Sushil Majumdar Drama
Nanabhai Bhatt,Paidi Jairaj,Helen,Kamal Kapoor,Thriller,lal quila,Paidi Jairaj Helen Kamal Kapoor Nanabhai Bhatt Thriller
Gaganvihari Borate,Nandita Das,Sharad S. Kapoor,Makrand Deshpande,Musical Action Drama,lal salaam,"Nandita Das Sharad S. Kapoor Makrand Deshpande Gaganvihari Borate Musical, Action, Drama"
Devendra Bhagat,Sachendra Choubey,Divyanka Tripathi Dahiya,Prince Khan,History,lala hardaul,Sachendra Choubey Divyanka Tripathi Dahiya Prince Khan Devendra Bhagat History
Shankar Nag,Brahmachari,Chandrashekhar,Coca Cola,Action Crime,lalach,"Brahmachari Chandrashekhar Coca Cola Shankar Nag Action, Crime"
Ramanand Sagar,Rajendra Kumar,Dharmendra,Mala Sinha,Action Drama Romance,lalkar (the challenge),"Rajendra Kumar Dharmendra Mala Sinha Ramanand Sagar Action, Drama, Romance"
Shiv Kumar,Urmila Bhatt,Gajendra Chauhan,Vyjayanti Chavan,Action Comedy Drama,lallu ram,"Urmila Bhatt Gajendra Chauhan Vyjayanti Chavan Shiv Kumar Action, Comedy, Drama"
Sharad Chaudhary,Master Akash,Mahesh Anand,Kabir Bedi,Action Crime Drama,lambu dada,"Master Akash Mahesh Anand Kabir Bedi Sharad Chaudhary Action, Crime, Drama"
Rahul Dholakia,Sanjay Dutt,Bipasha Basu,Kunal Kapoor,Action Drama Thriller,lamhaa: the untold story of kashmir,"Sanjay Dutt Bipasha Basu Kunal Kapoor Rahul Dholakia Action, Drama, Thriller"
Yash Chopra,Anil Kapoor,Sridevi,Anupam Kher,Drama Musical Romance,lamhe,"Anil Kapoor Sridevi Anupam Kher Yash Chopra Drama, Musical, Romance"
Goran Paskaljevic,Victor Banerjee,Geetanjali Thapa,Uttara Baokar,Drama,land of the gods,Victor Banerjee Geetanjali Thapa Uttara Baokar Goran Paskaljevic Drama
Maqbool Khan,Manoj Bajpayee,Arjan Bajwa,Tia Bajpai,Action Crime Drama,lanka,"Manoj Bajpayee Arjan Bajwa Tia Bajpai Maqbool Khan Action, Crime, Drama"
Dhundiraj Govind Phalke,Anna Salunke,Ganpat G. Shinde,D.D. Dabke,Adventure Drama Fantasy,lanka dahan,"Anna Salunke Ganpat G. Shinde D.D. Dabke Dhundiraj Govind Phalke Adventure, Drama, Fantasy"
Ravikant Nagaich,Prem Bedi,Birbal,Mithun Chakraborty,Action Drama,laparwah,"Prem Bedi Birbal Mithun Chakraborty Ravikant Nagaich Action, Drama"
Jagdish Kadar,Kader Kashmiri,Dev Anand,Javed Jaffrey,Action Crime Drama,lashkar,"Kader Kashmiri Dev Anand Javed Jaffrey Jagdish Kadar Action, Crime, Drama"
Manav Bhalla,Dolly Ahluwalia,Priyanshu Chatterjee,Tisca Chopra,Drama,lashtam pashtam,Dolly Ahluwalia Priyanshu Chatterjee Tisca Chopra Manav Bhalla Drama
Ronit Jadhav,Ronit Jadhav,Rohit D'Souza,Darshil Gandhi,Comedy Drama,last chance: the moment i finally embraced the futility of existence,"Ronit Jadhav Rohit D'Souza Darshil Gandhi Ronit Jadhav Comedy, Drama"
Israr Ahmed,Nawazuddin Siddiqui,Kader Khan,Murli Sharma,Action Crime Drama,lateef,"Nawazuddin Siddiqui Kader Khan Murli Sharma Israr Ahmed Action, Crime, Drama"
Shahid Kazmi,Sajad Khaki,Tariq Imtyaz,Mushtaq Ali,Comedy,lateef to laden,Sajad Khaki Tariq Imtyaz Mushtaq Ali Shahid Kazmi Comedy
Hrishikesh Mukherjee,Sandip Mukherjee,Dharmendra,Govinda,Drama,lathi,Sandip Mukherjee Dharmendra Govinda Hrishikesh Mukherjee Drama
Hari Walia,Shammi Kapoor,Nutan,Prem Chopra,Comedy Drama Musical,latt saheb,"Shammi Kapoor Nutan Prem Chopra Hari Walia Comedy, Drama, Musical"
V. Madhusudan Rao,Jeetendra,Jaya Prada,Arun Govil,Adventure Drama Fantasy,lav kush,"Jeetendra Jaya Prada Arun Govil V. Madhusudan Rao Adventure, Drama, Fantasy"
Ravindra Peepat,Raj Babbar,Dimple Kapadia,Asha Parekh,Family Drama,lava,"Raj Babbar Dimple Kapadia Asha Parekh Ravindra Peepat Family, Drama"
Dhavala Satyam,Natalie DP,Arun Govil,Robert Lang,Animation,lava kusa: the warrior twins,Natalie DP Arun Govil Robert Lang Dhavala Satyam Animation
Apurba Kishore Bir,Aditi Bir,Saumysri Misra,Tara Shankar Misra,Drama,lavanya preeti,Aditi Bir Saumysri Misra Tara Shankar Misra Apurba Kishore Bir Drama
S.N. Tripathi,Ashim Kumar,Jayshree Gadkar,Babloo,Action Adventure Drama,lav-kush,"Ashim Kumar Jayshree Gadkar Babloo S.N. Tripathi Action, Adventure, Drama"
Lawrence Raghavendra,Balakrishnan Thevar,Akshay Kumar,Kiara Advani,Action Comedy Horror,laxmii,"Balakrishnan Thevar Akshay Kumar Kiara Advani Lawrence Raghavendra Action, Comedy, Horror"
Vijay Kondke,Nishant Malkani,Alok Nath,Raza Murad,Romance,le chal apne sang,Nishant Malkani Alok Nath Raza Murad Vijay Kondke Romance
